,Price,Zip,Longitude,Latitude,Acres,Tax,Year_built,Bedrooms,Bathrooms,Sqrt_ft,Garage,Kitchen,Fire_places,Floor,HOA
201,1453000.0,85750,-110.839622,32.329107,1.86,18968.92,2007,5,5.0,5137.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite",3.0,"Carpet, Natural Stone, Wood",106.0
202,1350000.0,85715,-110.85954,32.262887,1.17,8506.36,1968,4,5.0,4801.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Mexican Tile, Wood",48.0
203,1500000.0,85718,-110.945973,32.34908,1.03,12808.81,2011,4,5.0,4368.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: STONE, Microwave: STAINLESS, Oven: STAINELSS",2.0,"Natural Stone, Wood",168.0
204,1525000.0,85718,-110.923607,32.316525,1.08,12806.44,2002,5,5.0,5489.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless",3.0,"Carpet, Natural Stone, Wood",214.0
205,1490000.0,85718,-110.945216,32.343648,1.75,12685.0,2005,4,5.0,4782.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",238.0
206,1510000.0,85718,-110.942054,32.343897,1.16,10808.57,2001,4,4.0,4387.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",158.0
207,1541800.0,85755,-110.97364,32.463057,3.87,11.75,2018,4,5.0,4055.0,3.0,"Dishwasher, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Countertops: Granite, Microwave: Kitchen Aid, Oven: Kitchen Aid",1.0,Other: Porcelyn,212.88
208,1550000.0,85658,-111.095236,32.471535,0.45,1609.59,2015,3,4.0,3362.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Natural Stone, Wood",550.0
209,1447510.0,85749,-110.76026,32.303051,4.5,10828.42,2006,4,6.0,6472.0,5.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Mexican Tile,105.0
211,1460000.0,85718,-110.911074,32.33693,0.96,9673.0,2005,4,4.0,5876.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone, Wood, Other",57.0
212,1501313.0,85755,-110.984149,32.462969,0.32,900.22,2017,3,4.0,2880.0,3.0,"Dishwasher, Electric Range, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Wet Bar",1.0,Ceramic Tile,195.0
213,1500000.0,85749,-110.719318,32.269934,3.58,6564.33,2003,4,4.0,4645.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Natural Stone, Wood",30.0
214,1425000.0,85742,-111.028678,32.367553,3.35,10882.0,2008,5,7.0,6196.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone, Wood",150.0
